Disease,Description
abdominal aortic aneurysm,An aortic aneurysm that is located_in the abdominal aorta.
acne,"A sebaceous gland disease characterized by areas of blackheads, whiteheads, pimples, greasy skin, and possibly scarring."
acquired immunodeficiency syndrome,"A Human immunodeficiency virus infectious disease that results_in reduction in the numbers of CD4-bearing helper T cells below 200 per µL of blood or 14% of all lymphocytes thereby rendering the subject highly vulnerable to life-threatening infections and cancers, has_material_basis_in Human immunodeficiency virus 1 or has_material_basis_in Human immunodeficiency virus 2, which are transmitted_by sexual contact, transmitted_by transfer of blood, semen, vaginal fluid, pre-ejaculate, or breast milk, transmitted_by congenital method, and transmitted_by contaminated needles. Opportunistic infections are common in people with AIDS."
acquired metabolic disease,"A disease of metabolism that has _material_basis_in enzyme deficiency or accumulation of enzymes or toxins which interfere with normal function due to an endocrine organ disease, organ malfunction, inadequate intake, dietary deficiency, or malabsorption."
acute leukemia,"A leukemia that occurs when a hematopoietic stem cell undergoes malignant transformation into a primitive, undifferentiated cell with abnormal longevity. These lymphocytes (acute lymphocytic leukemia [ALL]) or myeloid cells (acute myelocytic leukemia [AML]) proliferate abnormally, replacing normal marrow tissue and hematopoietic cells and inducing anemia, thrombocytopenia, and granulocytopenia."
acute lymphocytic leukemia,A lymphoblastic leukemia that is characterized by over production of lymphoblasts.
acute myeloid leukemia,A myeloid leukemia that is characterized by the rapid growth of abnormal white blood cells that accumulate in the bone marrow and interfere with the production of normal blood cells.
adrenal gland disease,An endocrine system disease that is located_in the adrenal gland.
adult syndrome,"An autosomal dominant disease that is characterized by light pigmentation with excessive freckling, sparse hair involving the scalp and axilla, lacrimal duct stenosis or atresia, onychodysplasia, hypodontia or early loss of permanent teeth, athelia or hypoplastic nipples, and breast hypoplasia, has_material_basis_in a mutation in TP63."
agammaglobulinemia,A B cell deficiency that is caused by a reduction in all types of gamma globulins.
age related macular degeneration,A degeneration of macula and posterior pole that is characterized by a loss of vision in the center of the visual field (the macula) resulting from damage to the retina and resulting in blurring of the sharp central vision.
agranulocytosis,
alcohol abuse,A substance abuse that involves the recurring use of alcoholic beverages despite negative consequences.
alcohol dependence,
alcohol-induced mental disorder,
allergic contact dermatitis,"A contact dermititis that is an allergic skin reaction to foreign chemical or substances leading to red, itchy, weepy reaction where the skin has come into contact with a substance that the immune system recognizes as foreign."
allergic rhinitis,"A rhinitis that is an allergic inflammation and irritation of the nasal airways involving sneezing, runny nose, nasal congestion, itching and tearing of the eyes caused by exposure to an allergen such as pollen, dust, mold, animal dander and droppings of cockroaches or house dust mites."
alopecia,A hypotrichosis that is characterized by a loss of hair from the head or body.
alopecia areata,A hypersensitivity reaction type II disease resulting in the loss of hair on the scalp and elsewhere on the body initially causing bald spots.
alzheimer's disease,"A tauopathy that results in progressive memory loss, impaired thinking, disorientation, and changes in personality and mood starting and leads in advanced cases to a profound decline in cognitive and physical functioning and is marked histologically by the degeneration of brain neurons especially in the cerebral cortex and by the presence of neurofibrillary tangles and plaques containing beta-amyloid. It is characterized by memory lapses, confusion, emotional instability and progressive loss of mental ability."
,
amphetamine abuse,A substance abuse that involves the recurring use of amphetamines despite negative consequences.
amyotrophic lateral sclerosis,"A motor neuron disease that is characterized by muscle spasticity, rapidly progressive weakness due to muscle atrophy, difficulty in speaking, swallowing, and breathing."
anemia,A hematopoietic system disease that is characterized by a decrease in the normal number of red blood cells.
angioedema,"A skin disease characterized by the rapid swelling of the dermis, subcutaneous tissue, mucosa and submucosal tissues."
ankylosing spondylitis,"A bone inflammation disease that results_in inflammation in the joints of the spine and pelvis. The disease has_symptom pain, has_symptom stiffness in the spine, has_symptom stiffness in the neck, has_symptom stiffness in the hips, has_symptom stiffness in the jaw and has_symptom stiffness in the rib cage."
anorexia nervosa,"An eating disorder characterized by refusal to maintain a healthy body weight, and an obsessive fear of gaining weight due to a distorted self image."
anthrax disease,"A primary bacterial infectious disease that results_in infection located_in skin, located_in lung lymph nodes or located_in gastrointestinal tract, has_material_basis_in Bacillus anthracis, transmitted_by contact with infected animals or animal products, transmitted_by airborne spores or transmitted_by ingestion of undercooked meat from infected animals and has_symptom skin ulcer, has_symptom nausea, has_symptom poor appetite, has_symptom bloody diarrhea, has_symptom fever or has_symptom shortness of breath."
antidepressant type abuse,A substance abuse that involves the recurring use of antidepressant drugs despite negative consequences.
antiphospholipid syndrome,A hypersensitivity reaction type II disease that is characterized by recurrent venous or arterial thrombosis and/or fetal losses associated with characteristic elevated levels of antibodies directed against membrane anionic phospholipids (anticardiolipin).
anxiety disorder,"A cognitive disorder that involves an excessive, irrational dread of everyday situations."
aortic aneurysm,An aortic disease that is characterized by an enlargement (dilation) of the aorta to greater than 1.5 times normal size.
aortic disease,An artery disease that is characterized by degeneration of the cells composing the aortic wall.
aortic valve disease,Updating out dated UMLS CUI.
arteriosclerosis,An artery disease that is characterized by a thickening and hardening of arterial walls in the arteries.
arteriosclerotic cardiovascular disease,
artery disease,A vascular disease that is located_in an artery.
arthritis,"A bone inflammation disease that involves a response to irritation or injury, characterized by joint pain, swelling, stiffness located_in joint and/or redness located_in skin over the joint."
asperger syndrome,"An autism spectrum disorder that is characterized by significant difficulties in social interaction, along with restricted and repetitive patterns of behavior and interests. It differs from other autism spectrum disorders by its relative preservation of linguistic and cognitive development."
asthma,"A bronchial disease that is characterized by chronic inflammation and narrowing of the airways, which is caused by a combination of environmental and genetic factors. The disease has_symptom recurring periods of wheezing (a whistling sound while breathing), has_symptom chest tightness, has_symptom shortness of breath, has_symptom mucus production and has_symptom coughing. The symptoms appear due to a variety of triggers such as allergens, irritants, respiratory infections, weather changes, exercise, stress, reflux disease, medications, foods and emotional anxiety."
astrocytoma,"A malignant glioma that is has_material_basis_in astocyte cells, a type of star-shaped glial cell, located_in the cerebrum."
,
,
atherosclerosis,
atopic dermatitis,A dermatitis that is a chronically relapsing inflammatory allergic response located_in the skin that causes itching and flaking.
attention deficit hyperactivity disorder,"A specific developmental disorder that is characterized by co-existence of attentional problems and hyperactivity, with each behavior occurring infrequently alone and symptoms starting before seven years of age."
auditory system disease,
